Year,Canola,region,average_max_temp_in_4,average_max_temp_in_5,average_max_temp_in_6,average_max_temp_in_7,average_max_temp_in_8,average_max_temp_in_9,average_max_temp_in_10,days_above_25,days_under_0,longest_dry_spell,longest_wet_spell,days_over_95_precipitation,longest_heat_wave,longest_cold_wave,SPI_in_4,SPI_in_5,SPI_in_6,SPI_in_7,SPI_in_8,SPI_in_9,SPI_in_10,Region,Soil Zone
2014,-3.299820697667272,1,280.5868835449219,290.44537353515625,294.1714172363281,297.2848815917969,298.1149597167969,292.6153259277344,286.2566833496094,44,6,6,24,12,5,4,0.4664882215505716,0.1521945016200746,0.4318163867806567,-0.2716348500358252,0.4491476512581187,0.1372219736537217,-0.2670630747217246,1.0,1.0
2015,-1.842156944766483,1,285.7727355957031,290.6768493652344,297.29608154296875,299.389404296875,299.4775390625,295.34588623046875,286.67889404296875,61,0,7,18,11,4,3,-0.0584569944875403,0.0361545621574414,-0.0654052202064173,0.52921382768476,-0.0752981277921499,0.1193706986221605,0.3114319277355723,1.0,1.0
2016,0.5723939156998945,1,284.46112060546875,293.4045104980469,297.15411376953125,298.0108947753906,299.2842712402344,292.97882080078125,284.7821044921875,55,0,7,23,21,3,2,0.1763546080732161,-0.1240792190757213,0.2097400099141892,0.5377490068059905,0.4278677006216133,0.4476717231144311,0.526839252797564,1.0,1.0
2017,6.570776565278223,1,284.4488525390625,291.9024963378906,295.9498291015625,301.68194580078125,298.83673095703125,293.5820007324219,285.56170654296875,67,0,10,14,9,6,3,0.1216483591318332,-0.2549130984803178,-0.0704120427826714,0.1101703147057593,-0.0655919221137016,0.2981643780008516,0.023899997897306,1.0,1.0
2018,5.4389561261019495,1,280.35443115234375,296.1470947265625,297.6733093261719,299.0870056152344,301.61151123046875,290.2004089355469,281.6670837402344,74,9,11,13,6,8,10,-0.2981951192916491,-0.3357007800125918,0.3112831942265791,0.1016066861581867,-0.2674003666473798,0.5966264785744931,0.2501628275667526,1.0,1.0
2019,-2.5559772055087393,1,285.3267822265625,291.06805419921875,297.0861511230469,300.0736083984375,298.3316955566406,291.76202392578125,280.5846252441406,58,3,6,16,17,6,2,0.3344139130827125,-0.3038432127443805,0.1656598803247098,-0.0074507110813824,0.4587516470745668,0.9459764912436122,0.4339938480197338,1.0,1.0
2020,3.695976570446142,1,281.5599670410156,291.0934143066406,298.6794738769531,300.1022644042969,301.3421936035156,294.6901550292969,281.4427185058594,78,11,6,9,9,7,11,0.1308447097972911,-0.2675361134734774,-0.1936901919482613,0.3076123267557422,-0.1392577817889014,0.0167237970206215,0.242758960649264,1.0,1.0
2021,-4.308820322252792,1,285.2989501953125,291.39825439453125,300.0769348144531,303.5818786621094,300.316162109375,297.7236633300781,288.5087890625,93,1,12,11,7,7,2,-0.1823976669950769,-0.1552613689552024,-0.2938397719044092,-0.1382599624649458,0.2208492058684347,-0.0735694031116969,-0.1138949185213612,1.0,1.0
2022,-1.4632378459405544,1,277.5573425292969,290.16925048828125,296.6334533691406,299.8694763183594,300.9869384765625,297.0741882324219,286.6797180175781,70,7,12,10,15,5,5,0.4825913448972269,0.3499973819265661,-0.2314388771747082,0.3102038116291727,0.1272216292851978,-0.2006892568844641,-0.0235235673284361,1.0,1.0
1990,-4.2502986060254635,2,285.0977478027344,290.5575866699219,296.97137451171875,299.47503662109375,300.81024169921875,296.7859191894531,286.06561279296875,73,0,5,12,9,6,5,-0.0127425637673561,0.0808125018861784,0.1856380840268285,0.2584589749685637,0.243501124080591,0.2008756887417594,-0.0416452265740457,2.0,1.0
